iter	Passed	Remaining
0	140	139960
1	141	70574
2	142	47294
3	143	35629
4	143	28643
5	144	23978
6	145	20646
7	146	18134
8	147	16199
9	147	14635
10	148	13366
11	149	12313
12	150	11423
13	151	10659
14	152	9992
15	153	9433
16	154	8931
17	155	8484
18	156	8076
19	157	7706
20	158	7370
21	158	7067
22	159	6792
23	160	6537
24	161	6302
25	162	6085
26	163	5883
27	164	5693
28	164	5516
29	165	5351
30	166	5198
31	167	5058
32	168	4929
33	169	4807
34	170	4688
35	170	4576
36	171	4468
37	172	4367
38	173	4271
39	174	4179
40	174	4092
41	175	4012
42	176	3934
43	177	3860
44	178	3788
45	179	3726
46	180	3666
47	182	3610
48	183	3559
49	184	3505
50	185	3451
51	186	3395
52	187	3342
53	187	3289
54	188	3239
55	189	3190
56	189	3143
57	190	3097
58	191	3054
59	192	3011
60	192	2970
61	193	2930
62	194	2893
63	195	2858
64	196	2830
65	197	2797
66	198	2763
67	199	2729
68	199	2697
69	200	2665
70	201	2633
71	202	2604
72	202	2574
73	203	2546
74	204	2518
75	204	2492
76	205	2465
77	206	2440
78	207	2417
79	208	2394
80	209	2371
81	209	2350
82	210	2326
83	211	2305
84	212	2284
85	213	2264
86	213	2243
87	214	2222
88	215	2203
89	215	2183
90	216	2164
91	217	2146
92	218	2128
93	218	2110
94	219	2092
95	220	2075
96	221	2058
97	221	2041
98	222	2025
99	223	2009
100	224	1994
101	224	1979
102	225	1966
103	226	1953
104	227	1939
105	228	1926
106	229	1913
107	230	1900
108	230	1887
109	231	1874
110	232	1861
111	233	1849
112	233	1836
113	234	1824
114	235	1811
115	236	1799
116	236	1787
117	237	1775
118	238	1764
119	239	1752
120	239	1742
121	240	1731
122	241	1722
123	242	1712
124	243	1702
125	244	1692
126	244	1682
127	245	1672
128	246	1662
129	246	1652
130	247	1643
131	248	1633
132	249	1624
133	249	1614
134	250	1605
135	251	1596
136	252	1587
137	252	1579
138	253	1570
139	254	1561
140	255	1553
141	255	1543
142	256	1535
143	256	1526
144	257	1518
145	258	1509
146	258	1501
147	259	1492
148	259	1484
149	260	1476
150	261	1468
151	261	1460
152	262	1452
153	263	1445
154	263	1437
155	264	1430
156	265	1422
157	265	1415
158	266	1408
159	266	1401
160	267	1393
161	268	1386
162	268	1379
163	269	1372
164	270	1367
165	271	1361
166	271	1355
167	272	1348
168	272	1341
169	273	1335
170	274	1328
171	274	1322
172	275	1316
173	275	1309
174	276	1303
175	277	1297
176	277	1290
177	278	1284
178	278	1278
179	279	1272
180	279	1266
181	280	1261
182	281	1255
183	281	1249
184	282	1243
185	282	1238
186	283	1232
187	284	1227
188	285	1223
189	285	1218
190	286	1212
191	287	1207
192	287	1202
193	288	1197
194	288	1192
195	289	1187
196	290	1182
197	290	1177
198	291	1172
199	291	1167
200	292	1162
201	293	1157
202	293	1153
203	294	1148
204	294	1143
205	295	1139
206	296	1134
207	296	1130
208	297	1125
209	298	1121
210	298	1116
211	299	1112
212	300	1109
213	300	1105
